disease,drug
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid AND sodium citrate
Abdominal Distension,bethanechol
Abdominal Distension,pamabrom
Abdominal Distension,bethanechol
Abdominal Distension,pamabrom
Abdominal Distension Prior to Abdominal X-ray,vasopressin
Abdominal Radiological Procedure,vasopressin
Abdominal Radiological Procedure,vasopressin
Abnormal Uterine Bleeding,medroxyprogesterone
Abnormal Uterine Bleeding,norethindrone
Abnormal Uterine Bleeding,megestrol
Abnormal Uterine Bleeding,levonorgestrel
Abnormal Uterine Bleeding,ethinyl estradiol AND levonorgestrel
Abnormal Uterine Bleeding,ethinyl estradiol AND norgestimate
Abnormal Uterine Bleeding,ethinyl estradiol AND norethindrone
Abnormal Uterine Bleeding,desogestrel AND ethinyl estradiol
Abortion,misoprostol
Abortion,mifepristone
Abortion,oxytocin
Abortion,carboprost
Abortion,dinoprostone
Ectopic Pregnancy,methotrexate
CNS Infection,cefotaxime
Seizures ,levetiracetam
Seizures ,phenobarbital
Seizures ,phenytoin
Seizures ,diazepam
Seizures ,oxcarbazepine
Seizures ,zonisamide
Seizures ,topiramate
Seizures ,valproic acid
Seizures ,primidone
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine AND atorvastatin
Fecal Incontinence,dextranomer AND sodium hyaluronate
Acetaminophen Overdose,acetylcysteine
Acetaminophen Overdose,acetylcysteine
Tendonitis,meloxicam
Tendonitis,naproxen
Tendonitis,indomethacin
Tendonitis,trolamine salicylate
Tendonitis,sulindac
Tendonitis,meloxicam
Tendonitis,naproxen
Tendonitis,indomethacin
Tendonitis,trolamine salicylate
Tendonitis,sulindac
GERD,omeprazole
GERD,pantoprazole
GERD,ranitidine
GERD,famotidine
GERD,lansoprazole
GERD,esomeprazole
GERD,rabeprazole
GERD,sucralfate
GERD,dexlansoprazole
GERD,omeprazole AND sodium bicarbonate
Acidosis,sodium bicarbonate
Acidosis,sodium bicarbonate
Acidosis,sodium bicarbonate
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Acne,doxycycline
Acne,spironolactone
Acne,minocycline
Acne,clindamycin
Acne,tretinoin
Acne,isotretinoin
Acne,benzoyl peroxide
Acne,adapalene
Acne,tetracycline
Acne,cephalexin
Acne,sulfamethoxazole AND trimethoprim
Rosacea,doxycycline
Rosacea,metronidazole
Rosacea,minocycline
Rosacea,azelaic acid
Rosacea,sulfacetamide sodium AND sulfur
Rosacea,isotretinoin
Rosacea,ivermectin
Rosacea,brimonidine
Acne,doxycycline
Acne,spironolactone
Acne,minocycline
Acne,clindamycin
Acne,tretinoin
Acne,isotretinoin
Acne,benzoyl peroxide
Acne,adapalene
Acne,tetracycline
Acne,cephalexin
Acne,sulfamethoxazole AND trimethoprim
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Methemoglobinemia,methylene blue
Acromegaly,bromocriptine
Acromegaly,octreotide
Acromegaly,pegvisomant
Acromegaly,lanreotide
Acromegaly,pasireotide
Erythromelalgia,gabapentin
Actinic Keratosis,fluorouracil
Actinic Keratosis,aminolevulinic acid
Actinic Keratosis,ingenol
Actinomycosis,amoxicillin
Actinomycosis,doxycycline
Actinomycosis,minocycline
Actinomycosis,penicillin g sodium
Actinomycosis,penicillin g potassium
acute Asthma,albuterol
acute Asthma,prednisolone
acute Asthma,methylprednisolone
acute Asthma,epinephrine
acute Asthma,hydrocortisone
acute Asthma,theophylline
acute Asthma,dexamethasone
acute Asthma,levalbuterol
acute Asthma,terbutaline
Urinary Tract Infection,ciprofloxacin
Urinary Tract Infection,nitrofurantoin
Urinary Tract Infection,sulfamethoxazole AND trimethoprim
Urinary Tract Infection,amoxicillin
Urinary Tract Infection,doxycycline
Urinary Tract Infection,levofloxacin
Urinary Tract Infection,ceftriaxone
Urinary Tract Infection,amoxicillin AND clavulanate
Urinary Tract Infection,cefuroxime
Urinary Tract Infection,trimethoprim
Urinary Tract Infection,methenamine
Urinary Tract Infection,ampicillin
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Acute Coronary Syndrome,clopidogrel
Acute Coronary Syndrome,ticagrelor
Acute Coronary Syndrome,prasugrel
Acute Coronary Syndrome,enoxaparin
Acute Coronary Syndrome,eptifibatide
Acute Coronary Syndrome,tirofiban
Prophylaxis Acute Coronary Syndrome,clopidogrel
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal AND daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
HIV Infection,lamivudine
HIV Infection,efavirenz AND emtricitabine AND tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine AND tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Porphyria,chlorpromazine
Porphyria,hemin
Porphyria,givosiran
Acute Lymphoblastic Leukemia,methotrexate
Acute Lymphoblastic Leukemia,mercaptopurine
Acute Lymphoblastic Leukemia,dasatinib
Acute Lymphoblastic Leukemia,pegaspargase
Acute Lymphoblastic Leukemia,doxorubicin
Acute Lymphoblastic Leukemia,imatinib
Acute Lymphoblastic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphoblastic Leukemia,ponatinib
Acute Lymphoblastic Leukemia,vincristine liposome
Acute Lymphoblastic Leukemia,blinatumomab
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Acute Myeloblastic Leukemia,doxorubicin
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal AND daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal AND daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Acute Nonlymphocytic Leukemia,isotretinoin
Acute Nonlymphocytic Leukemia,methotrexate
