drug
sodium bicarbonate is a drug.
citric acid AND sodium citrate is a drug.
bethanechol is a drug.
pamabrom is a drug.
bethanechol is a drug.
pamabrom is a drug.
vasopressin is a drug.
vasopressin is a drug.
vasopressin is a drug.
medroxyprogesterone is a drug.
norethindrone is a drug.
megestrol is a drug.
levonorgestrel is a drug.
ethinyl estradiol AND levonorgestrel is a drug.
ethinyl estradiol AND norgestimate is a drug.
ethinyl estradiol AND norethindrone is a drug.
desogestrel AND ethinyl estradiol is a drug.
misoprostol is a drug.
mifepristone is a drug.
oxytocin is a drug.
carboprost is a drug.
dinoprostone is a drug.
methotrexate is a drug.
cefotaxime is a drug.
levetiracetam is a drug.
phenobarbital is a drug.
phenytoin is a drug.
diazepam is a drug.
oxcarbazepine is a drug.
zonisamide is a drug.
topiramate is a drug.
valproic acid is a drug.
primidone is a drug.
aspirin is a drug.
nitroglycerin is a drug.
metoprolol is a drug.
amlodipine is a drug.
isosorbide mononitrate is a drug.
isosorbide dinitrate is a drug.
enoxaparin is a drug.
ranolazine is a drug.
atenolol is a drug.
carvedilol is a drug.
amlodipine AND atorvastatin is a drug.
dextranomer AND sodium hyaluronate is a drug.
acetylcysteine is a drug.
acetylcysteine is a drug.
meloxicam is a drug.
naproxen is a drug.
indomethacin is a drug.
trolamine salicylate is a drug.
sulindac is a drug.
meloxicam is a drug.
naproxen is a drug.
indomethacin is a drug.
trolamine salicylate is a drug.
sulindac is a drug.
omeprazole is a drug.
pantoprazole is a drug.
ranitidine is a drug.
famotidine is a drug.
lansoprazole is a drug.
esomeprazole is a drug.
rabeprazole is a drug.
sucralfate is a drug.
dexlansoprazole is a drug.
omeprazole AND sodium bicarbonate is a drug.
sodium bicarbonate is a drug.
sodium bicarbonate is a drug.
sodium bicarbonate is a drug.
ibuprofen is a drug.
naproxen is a drug.
acetaminophen is a drug.
diclofenac is a drug.
nabumetone is a drug.
doxycycline is a drug.
spironolactone is a drug.
minocycline is a drug.
clindamycin is a drug.
tretinoin is a drug.
isotretinoin is a drug.
benzoyl peroxide is a drug.
adapalene is a drug.
tetracycline is a drug.
cephalexin is a drug.
sulfamethoxazole AND trimethoprim is a drug.
doxycycline is a drug.
metronidazole is a drug.
minocycline is a drug.
azelaic acid is a drug.
sulfacetamide sodium AND sulfur is a drug.
isotretinoin is a drug.
ivermectin is a drug.
brimonidine is a drug.
doxycycline is a drug.
spironolactone is a drug.
minocycline is a drug.
