drug
aspirin is a drug.
nitroglycerin is a drug.
metoprolol is a drug.
amlodipine is a drug.
isosorbide mononitrate is a drug.
isosorbide dinitrate is a drug.
enoxaparin is a drug.
ranolazine is a drug.
atenolol is a drug.
carvedilol is a drug.
amlodipine AND atorvastatin is a drug.
ibuprofen is a drug.
naproxen is a drug.
acetaminophen is a drug.
diclofenac is a drug.
nabumetone is a drug.
lamivudine is a drug.
efavirenz AND emtricitabine AND tenofovir is a drug.
ritonavir is a drug.
emtricitabine AND tenofovir is a drug.
tenofovir is a drug.
abacavir is a drug.
lamivudine is a drug.
efavirenz AND emtricitabine AND tenofovir is a drug.
ritonavir is a drug.
emtricitabine AND tenofovir is a drug.
tenofovir is a drug.
abacavir is a drug.
cytarabine is a drug.
vincristine is a drug.
daunorubicin is a drug.
idarubicin is a drug.
decitabine is a drug.
gemtuzumab is a drug.
midostaurin is a drug.
venetoclax is a drug.
enasidenib is a drug.
cytarabine liposomal AND daunorubicin liposomal is a drug.
ivosidenib is a drug.
gilteritinib is a drug.
glasdegib is a drug.
lamivudine is a drug.
efavirenz AND emtricitabine AND tenofovir is a drug.
ritonavir is a drug.
emtricitabine AND tenofovir is a drug.
tenofovir is a drug.
abacavir is a drug.
cytarabine is a drug.
vincristine is a drug.
daunorubicin is a drug.
idarubicin is a drug.
decitabine is a drug.
gemtuzumab is a drug.
midostaurin is a drug.
venetoclax is a drug.
enasidenib is a drug.
cytarabine liposomal AND daunorubicin liposomal is a drug.
ivosidenib is a drug.
gilteritinib is a drug.
glasdegib is a drug.
cytarabine is a drug.
vincristine is a drug.
daunorubicin is a drug.
idarubicin is a drug.
decitabine is a drug.
gemtuzumab is a drug.
midostaurin is a drug.
venetoclax is a drug.
enasidenib is a drug.
cytarabine liposomal AND daunorubicin liposomal is a drug.
ivosidenib is a drug.
gilteritinib is a drug.
glasdegib is a drug.
lamivudine is a drug.
efavirenz AND emtricitabine AND tenofovir is a drug.
ritonavir is a drug.
emtricitabine AND tenofovir is a drug.
tenofovir is a drug.
abacavir is a drug.
lamivudine is a drug.
efavirenz AND emtricitabine AND tenofovir is a drug.
ritonavir is a drug.
emtricitabine AND tenofovir is a drug.
tenofovir is a drug.
abacavir is a drug.
lamivudine is a drug.
efavirenz AND emtricitabine AND tenofovir is a drug.
ritonavir is a drug.
emtricitabine AND tenofovir is a drug.
tenofovir is a drug.
abacavir is a drug.
cytarabine is a drug.
vincristine is a drug.
daunorubicin is a drug.
idarubicin is a drug.
decitabine is a drug.
gemtuzumab is a drug.
midostaurin is a drug.
venetoclax is a drug.
enasidenib is a drug.
cytarabine liposomal AND daunorubicin liposomal is a drug.
ivosidenib is a drug.
gilteritinib is a drug.
glasdegib is a drug.
aspirin is a drug.
nitroglycerin is a drug.
