sentence,label
sodium bicarbonate is taken for disease <MASK>,Alkylating Agent Cystitis
citric acid AND sodium citrate is taken for disease <MASK>,Alkylating Agent Cystitis
bethanechol is taken for disease <MASK>,Abdominal Distension
pamabrom is taken for disease <MASK>,Abdominal Distension
bethanechol is taken for disease <MASK>,Abdominal Distension
pamabrom is taken for disease <MASK>,Abdominal Distension
medroxyprogesterone is taken for disease <MASK>,Abnormal Uterine Bleeding
norethindrone is taken for disease <MASK>,Abnormal Uterine Bleeding
megestrol is taken for disease <MASK>,Abnormal Uterine Bleeding
levonorgestrel is taken for disease <MASK>,Abnormal Uterine Bleeding
ethinyl estradiol AND levonorgestrel is taken for disease <MASK>,Abnormal Uterine Bleeding
ethinyl estradiol AND norgestimate is taken for disease <MASK>,Abnormal Uterine Bleeding
ethinyl estradiol AND norethindrone is taken for disease <MASK>,Abnormal Uterine Bleeding
desogestrel AND ethinyl estradiol is taken for disease <MASK>,Abnormal Uterine Bleeding
cefotaxime is taken for disease <MASK>,CNS Infection
levetiracetam is taken for disease <MASK>,Seizures 
phenobarbital is taken for disease <MASK>,Seizures 
phenytoin is taken for disease <MASK>,Seizures 
diazepam is taken for disease <MASK>,Seizures 
oxcarbazepine is taken for disease <MASK>,Seizures 
zonisamide is taken for disease <MASK>,Seizures 
topiramate is taken for disease <MASK>,Seizures 
valproic acid is taken for disease <MASK>,Seizures 
primidone is taken for disease <MASK>,Seizures 
aspirin is taken for disease <MASK>,Angina
nitroglycerin is taken for disease <MASK>,Angina
metoprolol is taken for disease <MASK>,Angina
amlodipine is taken for disease <MASK>,Angina
isosorbide mononitrate is taken for disease <MASK>,Angina
isosorbide dinitrate is taken for disease <MASK>,Angina
enoxaparin is taken for disease <MASK>,Angina
ranolazine is taken for disease <MASK>,Angina
atenolol is taken for disease <MASK>,Angina
carvedilol is taken for disease <MASK>,Angina
amlodipine AND atorvastatin is taken for disease <MASK>,Angina
dextranomer AND sodium hyaluronate is taken for disease <MASK>,Fecal Incontinence
meloxicam is taken for disease <MASK>,Tendonitis
naproxen is taken for disease <MASK>,Tendonitis
indomethacin is taken for disease <MASK>,Tendonitis
trolamine salicylate is taken for disease <MASK>,Tendonitis
sulindac is taken for disease <MASK>,Tendonitis
meloxicam is taken for disease <MASK>,Tendonitis
naproxen is taken for disease <MASK>,Tendonitis
indomethacin is taken for disease <MASK>,Tendonitis
trolamine salicylate is taken for disease <MASK>,Tendonitis
sulindac is taken for disease <MASK>,Tendonitis
omeprazole is taken for disease <MASK>,GERD
pantoprazole is taken for disease <MASK>,GERD
ranitidine is taken for disease <MASK>,GERD
famotidine is taken for disease <MASK>,GERD
lansoprazole is taken for disease <MASK>,GERD
esomeprazole is taken for disease <MASK>,GERD
rabeprazole is taken for disease <MASK>,GERD
sucralfate is taken for disease <MASK>,GERD
dexlansoprazole is taken for disease <MASK>,GERD
